Node1	Node2	Sim	Node1Chrname	Node1Chr	Node2Chrname	Node2Chr
soff_lappurple_cm036191.1	soff_lappurple_cm036186.1	0.15653140352871342	H05	Chr05	C05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036186.1	0.13619495448886096	G05	Chr05	C05	Chr05
sspo_npx_cm039596.1	soff_lappurple_cm036186.1	0.08511272936723442	5B	Chr05	C05	Chr05
sspo_npx_cm039597.1	soff_lappurple_cm036186.1	0.08485413613960303	5C	Chr05	C05	Chr05
sspo_npx_cm039595.1	soff_lappurple_cm036186.1	0.08310403401245667	5A	Chr05	C05	Chr05
sspo_npx_cm039598.1	soff_lappurple_cm036186.1	0.08194427421661152	5D	Chr05	C05	Chr05
soff_lappurple_cm036187.1	soff_lappurple_cm036187.1	1.0	D05	Chr05	D05	Chr05
soff_lappurple_cm036185.1	soff_lappurple_cm036187.1	0.1819423368740516	B05	Chr05	D05	Chr05
soff_lappurple_cm036184.1	soff_lappurple_cm036187.1	0.16855728087974012	A05	Chr05	D05	Chr05
soff_lappurple_cm036186.1	soff_lappurple_cm036187.1	0.16737015966232335	C05	Chr05	D05	Chr05
soff_lappurple_cm036188.1	soff_lappurple_cm036187.1	0.1660225728298765	E05	Chr05	D05	Chr05
soff_lappurple_cm036189.1	soff_lappurple_cm036187.1	0.15952123423626877	F05	Chr05	D05	Chr05
soff_lappurple_cm036191.1	soff_lappurple_cm036187.1	0.13800497696828506	H05	Chr05	D05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036187.1	0.12826436576213207	G05	Chr05	D05	Chr05
sspo_npx_cm039596.1	soff_lappurple_cm036187.1	0.0871694417238002	5B	Chr05	D05	Chr05
sspo_npx_cm039597.1	soff_lappurple_cm036187.1	0.0863460559245095	5C	Chr05	D05	Chr05
sspo_npx_cm039598.1	soff_lappurple_cm036187.1	0.08474063182476702	5D	Chr05	D05	Chr05
sspo_npx_cm039595.1	soff_lappurple_cm036187.1	0.08424616610237004	5A	Chr05	D05	Chr05
soff_lappurple_cm036188.1	soff_lappurple_cm036188.1	1.0	E05	Chr05	E05	Chr05
soff_lappurple_cm036189.1	soff_lappurple_cm036188.1	0.1798511316263429	F05	Chr05	E05	Chr05
soff_lappurple_cm036185.1	soff_lappurple_cm036188.1	0.1696453395909561	B05	Chr05	E05	Chr05
soff_lappurple_cm036187.1	soff_lappurple_cm036188.1	0.1660225728298765	D05	Chr05	E05	Chr05
soff_lappurple_cm036186.1	soff_lappurple_cm036188.1	0.16133128383345585	C05	Chr05	E05	Chr05
soff_lappurple_cm036184.1	soff_lappurple_cm036188.1	0.16130813198233307	A05	Chr05	E05	Chr05
soff_lappurple_cm036191.1	soff_lappurple_cm036188.1	0.1544215869623297	H05	Chr05	E05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036188.1	0.1424246110592974	G05	Chr05	E05	Chr05
sspo_npx_cm039596.1	soff_lappurple_cm036188.1	0.08554342173686948	5B	Chr05	E05	Chr05
sspo_npx_cm039597.1	soff_lappurple_cm036188.1	0.08428097407344919	5C	Chr05	E05	Chr05
sspo_npx_cm039598.1	soff_lappurple_cm036188.1	0.0834456575459406	5D	Chr05	E05	Chr05
sspo_npx_cm039595.1	soff_lappurple_cm036188.1	0.08098629780026492	5A	Chr05	E05	Chr05
soff_lappurple_cm036189.1	soff_lappurple_cm036189.1	1.0	F05	Chr05	F05	Chr05
soff_lappurple_cm036188.1	soff_lappurple_cm036189.1	0.1798511316263429	E05	Chr05	F05	Chr05
soff_lappurple_cm036185.1	soff_lappurple_cm036189.1	0.17435561774928904	B05	Chr05	F05	Chr05
soff_lappurple_cm036184.1	soff_lappurple_cm036189.1	0.16625838981468258	A05	Chr05	F05	Chr05
soff_lappurple_cm036186.1	soff_lappurple_cm036189.1	0.16066566149830097	C05	Chr05	F05	Chr05
soff_lappurple_cm036187.1	soff_lappurple_cm036189.1	0.15952123423626877	D05	Chr05	F05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036189.1	0.14266339712590928	G05	Chr05	F05	Chr05
soff_lappurple_cm036191.1	soff_lappurple_cm036189.1	0.1305294602102207	H05	Chr05	F05	Chr05
sspo_npx_cm039597.1	soff_lappurple_cm036189.1	0.0854197516801458	5C	Chr05	F05	Chr05
sspo_npx_cm039596.1	soff_lappurple_cm036189.1	0.08477908066470091	5B	Chr05	F05	Chr05
sspo_npx_cm039598.1	soff_lappurple_cm036189.1	0.08227014755959138	5D	Chr05	F05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036190.1	1.0	G05	Chr05	G05	Chr05
soff_lappurple_cm036191.1	soff_lappurple_cm036190.1	0.15139614657134615	H05	Chr05	G05	Chr05
soff_lappurple_cm036184.1	soff_lappurple_cm036190.1	0.14347513467001427	A05	Chr05	G05	Chr05
soff_lappurple_cm036189.1	soff_lappurple_cm036190.1	0.14266339712590928	F05	Chr05	G05	Chr05
soff_lappurple_cm036188.1	soff_lappurple_cm036190.1	0.1424246110592974	E05	Chr05	G05	Chr05
soff_lappurple_cm036186.1	soff_lappurple_cm036190.1	0.13619495448886096	C05	Chr05	G05	Chr05
soff_lappurple_cm036187.1	soff_lappurple_cm036190.1	0.12826436576213207	D05	Chr05	G05	Chr05
soff_lappurple_cm036185.1	soff_lappurple_cm036190.1	0.12517635900171914	B05	Chr05	G05	Chr05
soff_lappurple_cm036191.1	soff_lappurple_cm036191.1	1.0	H05	Chr05	H05	Chr05
soff_lappurple_cm036186.1	soff_lappurple_cm036191.1	0.15653140352871342	C05	Chr05	H05	Chr05
soff_lappurple_cm036188.1	soff_lappurple_cm036191.1	0.1544215869623297	E05	Chr05	H05	Chr05
soff_lappurple_cm036190.1	soff_lappurple_cm036191.1	0.15139614657134615	G05	Chr05	H05	Chr05
soff_lappurple_cm036187.1	soff_lappurple_cm036191.1	0.13800497696828506	D05	Chr05	H05	Chr05
soff_lappurple_cm036184.1	soff_lappurple_cm036191.1	0.1350332993340133	A05	Chr05	H05	Chr05
soff_lappurple_cm036189.1	soff_lappurple_cm036191.1	0.1305294602102207	F05	Chr05	H05	Chr05
soff_lappurple_cm036185.1	soff_lappurple_cm036191.1	0.12811817660620403	B05	Chr05	H05	Chr05
soff_lappurple_cm036192.1	soff_lappurple_cm036192.1	1.0	A06	Chr06	A06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036192.1	0.255368191192527	C06	Chr06	A06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036192.1	0.21841732591073346	B06	Chr06	A06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036192.1	0.21790716433233115	F06	Chr06	A06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036192.1	0.2161154959021981	G06	Chr06	A06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036192.1	0.20930877767795805	D06	Chr06	A06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036192.1	0.2082209099739435	H06	Chr06	A06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036192.1	0.18008926566359756	E06	Chr06	A06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036192.1	0.11845107837056627	6C	Chr06	A06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036192.1	0.1152375750955762	6D	Chr06	A06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036192.1	0.11207891444051654	6B	Chr06	A06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036192.1	0.11035208202350438	6A	Chr06	A06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036192.1	0.1033820766277265	5D	Chr05	A06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036192.1	0.09950870836574152	5A	Chr05	A06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036192.1	0.09336203591754888	5B	Chr05	A06	Chr06
sspo_ap85441_cm010701.1	soff_lappurple_cm036192.1	0.09062670570138441	5C	Chr05	A06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036193.1	1.0	B06	Chr06	B06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036193.1	0.28029725609756095	C06	Chr06	B06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036193.1	0.21841732591073346	A06	Chr06	B06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036193.1	0.20175853905985797	D06	Chr06	B06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036193.1	0.1750166036210332	E06	Chr06	B06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036193.1	0.1696849705933733	F06	Chr06	B06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036193.1	0.150894323781712	H06	Chr06	B06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036193.1	0.14331609119177094	G06	Chr06	B06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036193.1	0.12180687239567607	6C	Chr06	B06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036193.1	0.12157793157707107	6D	Chr06	B06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036193.1	0.11733664247483673	6A	Chr06	B06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036193.1	0.11581644186572225	6B	Chr06	B06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036193.1	0.10634253911582485	5D	Chr05	B06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036193.1	0.10490297463349352	5A	Chr05	B06	Chr06
sspo_ap85441_cm010701.1	soff_lappurple_cm036193.1	0.09629190272636165	5C	Chr05	B06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036193.1	0.09347357391847509	5B	Chr05	B06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036194.1	1.0	C06	Chr06	C06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036194.1	0.28029725609756095	B06	Chr06	C06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036194.1	0.255368191192527	A06	Chr06	C06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036194.1	0.22381123660168334	E06	Chr06	C06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036194.1	0.1993233170428177	D06	Chr06	C06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036194.1	0.18251801396081963	F06	Chr06	C06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036194.1	0.16716189579594598	H06	Chr06	C06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036194.1	0.14767735830402667	G06	Chr06	C06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036194.1	0.12829231811914277	6C	Chr06	C06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036194.1	0.12580063576410305	6D	Chr06	C06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036194.1	0.12072109057100423	6A	Chr06	C06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036194.1	0.11781619610259383	6B	Chr06	C06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036194.1	0.11005456914806971	5D	Chr05	C06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036194.1	0.10661663588857019	5A	Chr05	C06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036194.1	0.09964231466509874	5B	Chr05	C06	Chr06
sspo_ap85441_cm010701.1	soff_lappurple_cm036194.1	0.09635730812585283	5C	Chr05	C06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036195.1	1.0	D06	Chr06	D06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036195.1	0.20930877767795805	A06	Chr06	D06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036195.1	0.20175853905985797	B06	Chr06	D06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036195.1	0.1993233170428177	C06	Chr06	D06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036195.1	0.18533135997368855	F06	Chr06	D06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036195.1	0.1734412297482605	G06	Chr06	D06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036195.1	0.15567357390108588	E06	Chr06	D06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036195.1	0.15475945723684212	H06	Chr06	D06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036195.1	0.12527928503032237	6C	Chr06	D06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036195.1	0.12235539202424112	6D	Chr06	D06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036195.1	0.11952158143913176	6A	Chr06	D06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036195.1	0.11673157143451086	6B	Chr06	D06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036195.1	0.10516789982925441	5D	Chr05	D06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036195.1	0.10504833276643369	5A	Chr05	D06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036195.1	0.09243441122635754	5B	Chr05	D06	Chr06
sspo_ap85441_cm010701.1	soff_lappurple_cm036195.1	0.08749752676588915	5C	Chr05	D06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036196.1	1.0	E06	Chr06	E06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036196.1	0.22381123660168334	C06	Chr06	E06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036196.1	0.18008926566359756	A06	Chr06	E06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036196.1	0.1750166036210332	B06	Chr06	E06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036196.1	0.16113973579204277	H06	Chr06	E06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036196.1	0.15567357390108588	D06	Chr06	E06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036196.1	0.14734132268086994	F06	Chr06	E06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036196.1	0.12375104458089597	G06	Chr06	E06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036196.1	0.0962979094076655	6D	Chr06	E06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036196.1	0.09468704621326667	6B	Chr06	E06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036196.1	0.0945044968366102	6C	Chr06	E06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036196.1	0.08862824181853231	6A	Chr06	E06	Chr06
sspo_ap85441_cm010701.1	soff_lappurple_cm036196.1	0.08229809990298384	5C	Chr05	E06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036196.1	0.08176735337787676	5A	Chr05	E06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036196.1	0.08169972727908441	5B	Chr05	E06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036196.1	0.08024103645676409	5D	Chr05	E06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036197.1	1.0	F06	Chr06	F06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036197.1	0.21790716433233115	A06	Chr06	F06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036197.1	0.21038805970149255	G06	Chr06	F06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036197.1	0.18533135997368855	D06	Chr06	F06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036197.1	0.18251801396081963	C06	Chr06	F06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036197.1	0.1696849705933733	B06	Chr06	F06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036197.1	0.1632439477113858	H06	Chr06	F06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036197.1	0.14734132268086994	E06	Chr06	F06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036197.1	0.10290069257295198	6C	Chr06	F06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036197.1	0.09998966133486936	6D	Chr06	F06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036197.1	0.099214846538187	6A	Chr06	F06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036197.1	0.09686254222330422	6B	Chr06	F06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036197.1	0.09327722796712654	5D	Chr05	F06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036197.1	0.08471047648172761	5A	Chr05	F06	Chr06
sspo_ap85441_cm010700.1	soff_lappurple_cm036197.1	0.08282599461984992	5B	Chr05	F06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036198.1	1.0	G06	Chr06	G06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036198.1	0.2161154959021981	A06	Chr06	G06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036198.1	0.21038805970149255	F06	Chr06	G06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036198.1	0.1734412297482605	D06	Chr06	G06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036198.1	0.1732879145681386	H06	Chr06	G06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036198.1	0.14767735830402667	C06	Chr06	G06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036198.1	0.14331609119177094	B06	Chr06	G06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036198.1	0.12375104458089597	E06	Chr06	G06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036198.1	0.10170917064672133	6C	Chr06	G06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036198.1	0.09799268117162499	6D	Chr06	G06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036198.1	0.09585202676111768	6A	Chr06	G06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036198.1	0.0918913810483871	6B	Chr06	G06	Chr06
sspo_ap85441_cm010702.1	soff_lappurple_cm036198.1	0.08710135015325379	5D	Chr05	G06	Chr06
sspo_ap85441_cm010699.1	soff_lappurple_cm036198.1	0.08170693366224092	5A	Chr05	G06	Chr06
soff_lappurple_cm036199.1	soff_lappurple_cm036199.1	1.0	H06	Chr06	H06	Chr06
soff_lappurple_cm036192.1	soff_lappurple_cm036199.1	0.2082209099739435	A06	Chr06	H06	Chr06
soff_lappurple_cm036198.1	soff_lappurple_cm036199.1	0.1732879145681386	G06	Chr06	H06	Chr06
soff_lappurple_cm036194.1	soff_lappurple_cm036199.1	0.16716189579594598	C06	Chr06	H06	Chr06
soff_lappurple_cm036197.1	soff_lappurple_cm036199.1	0.1632439477113858	F06	Chr06	H06	Chr06
soff_lappurple_cm036196.1	soff_lappurple_cm036199.1	0.16113973579204277	E06	Chr06	H06	Chr06
soff_lappurple_cm036195.1	soff_lappurple_cm036199.1	0.15475945723684212	D06	Chr06	H06	Chr06
soff_lappurple_cm036193.1	soff_lappurple_cm036199.1	0.150894323781712	B06	Chr06	H06	Chr06
sspo_npx_cm039601.1	soff_lappurple_cm036199.1	0.09764004547829026	6C	Chr06	H06	Chr06
sspo_npx_cm039602.1	soff_lappurple_cm036199.1	0.09385823316460061	6D	Chr06	H06	Chr06
sspo_npx_cm039600.1	soff_lappurple_cm036199.1	0.09267003825455489	6B	Chr06	H06	Chr06
sspo_npx_cm039599.1	soff_lappurple_cm036199.1	0.08810813417123387	6A	Chr06	H06	Chr06
soff_lappurple_cm036200.1	soff_lappurple_cm036200.1	1.0	A07	Chr07	A07	Chr07
soff_lappurple_cm036201.1	soff_lappurple_cm036200.1	0.26251550986300676	B07	Chr07	A07	Chr07
soff_lappurple_cm036203.1	soff_lappurple_cm036200.1	0.2202032922551048	D07	Chr07	A07	Chr07
soff_lappurple_cm036202.1	soff_lappurple_cm036200.1	0.20127346187285838	C07	Chr07	A07	Chr07
soff_lappurple_cm036204.1	soff_lappurple_cm036200.1	0.2006750814753505	E07	Chr07	A07	Chr07
soff_lappurple_cm036206.1	soff_lappurple_cm036200.1	0.19193142766856708	G07	Chr07	A07	Chr07
soff_lappurple_cm036207.1	soff_lappurple_cm036200.1	0.17872340425531916	H07	Chr07	A07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036200.1	0.1434941375198728	F07	Chr07	A07	Chr07
sspo_npx_cm039603.1	soff_lappurple_cm036200.1	0.1121170412207219	7A	Chr07	A07	Chr07
sspo_npx_cm039604.1	soff_lappurple_cm036200.1	0.11018994521275312	7B	Chr07	A07	Chr07
sspo_npx_cm039605.1	soff_lappurple_cm036200.1	0.10680359435173299	7C	Chr07	A07	Chr07
sspo_npx_cm039606.1	soff_lappurple_cm036200.1	0.10446509932567888	7D	Chr07	A07	Chr07
sspo_ap85441_cm010703.1	soff_lappurple_cm036200.1	0.09948995826931295	6A	Chr06	A07	Chr07
sspo_ap85441_cm010704.1	soff_lappurple_cm036200.1	0.09388743152534526	6B	Chr06	A07	Chr07
sspo_ap85441_cm010705.1	soff_lappurple_cm036200.1	0.0928099285039795	6C	Chr06	A07	Chr07
sspo_ap85441_cm010706.1	soff_lappurple_cm036200.1	0.09072594184406689	6D	Chr06	A07	Chr07
soff_lappurple_cm036201.1	soff_lappurple_cm036201.1	1.0	B07	Chr07	B07	Chr07
soff_lappurple_cm036200.1	soff_lappurple_cm036201.1	0.26251550986300676	A07	Chr07	B07	Chr07
soff_lappurple_cm036204.1	soff_lappurple_cm036201.1	0.23537162449349694	E07	Chr07	B07	Chr07
soff_lappurple_cm036206.1	soff_lappurple_cm036201.1	0.22391890527894334	G07	Chr07	B07	Chr07
soff_lappurple_cm036202.1	soff_lappurple_cm036201.1	0.21920172301914925	C07	Chr07	B07	Chr07
soff_lappurple_cm036203.1	soff_lappurple_cm036201.1	0.207514771298387	D07	Chr07	B07	Chr07
soff_lappurple_cm036207.1	soff_lappurple_cm036201.1	0.1596942179929792	H07	Chr07	B07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036201.1	0.13139049264888783	F07	Chr07	B07	Chr07
sspo_npx_cm039603.1	soff_lappurple_cm036201.1	0.11012943800965429	7A	Chr07	B07	Chr07
sspo_npx_cm039604.1	soff_lappurple_cm036201.1	0.10801585977698792	7B	Chr07	B07	Chr07
sspo_npx_cm039606.1	soff_lappurple_cm036201.1	0.10568293821652747	7D	Chr07	B07	Chr07
sspo_npx_cm039605.1	soff_lappurple_cm036201.1	0.1026317156811805	7C	Chr07	B07	Chr07
sspo_ap85441_cm010703.1	soff_lappurple_cm036201.1	0.09507119178563626	6A	Chr06	B07	Chr07
sspo_ap85441_cm010704.1	soff_lappurple_cm036201.1	0.09185492857866477	6B	Chr06	B07	Chr07
sspo_ap85441_cm010706.1	soff_lappurple_cm036201.1	0.08986372668677312	6D	Chr06	B07	Chr07
sspo_ap85441_cm010705.1	soff_lappurple_cm036201.1	0.08881861442557362	6C	Chr06	B07	Chr07
soff_lappurple_cm036202.1	soff_lappurple_cm036202.1	1.0	C07	Chr07	C07	Chr07
soff_lappurple_cm036201.1	soff_lappurple_cm036202.1	0.21920172301914925	B07	Chr07	C07	Chr07
soff_lappurple_cm036203.1	soff_lappurple_cm036202.1	0.2133406915781983	D07	Chr07	C07	Chr07
soff_lappurple_cm036200.1	soff_lappurple_cm036202.1	0.20127346187285838	A07	Chr07	C07	Chr07
soff_lappurple_cm036206.1	soff_lappurple_cm036202.1	0.1876904601065826	G07	Chr07	C07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036202.1	0.16821401155801458	F07	Chr07	C07	Chr07
soff_lappurple_cm036204.1	soff_lappurple_cm036202.1	0.1386841921275257	E07	Chr07	C07	Chr07
soff_lappurple_cm036207.1	soff_lappurple_cm036202.1	0.13813841456866266	H07	Chr07	C07	Chr07
sspo_npx_cm039603.1	soff_lappurple_cm036202.1	0.10083044705064256	7A	Chr07	C07	Chr07
sspo_npx_cm039606.1	soff_lappurple_cm036202.1	0.09537982445262012	7D	Chr07	C07	Chr07
sspo_npx_cm039604.1	soff_lappurple_cm036202.1	0.0944685127592248	7B	Chr07	C07	Chr07
sspo_npx_cm039605.1	soff_lappurple_cm036202.1	0.09266291964150083	7C	Chr07	C07	Chr07
sspo_ap85441_cm010704.1	soff_lappurple_cm036202.1	0.08681524726738116	6B	Chr06	C07	Chr07
sspo_ap85441_cm010703.1	soff_lappurple_cm036202.1	0.08649200948346841	6A	Chr06	C07	Chr07
sspo_ap85441_cm010705.1	soff_lappurple_cm036202.1	0.08495091417692169	6C	Chr06	C07	Chr07
sspo_ap85441_cm010706.1	soff_lappurple_cm036202.1	0.08479070112736105	6D	Chr06	C07	Chr07
soff_lappurple_cm036203.1	soff_lappurple_cm036203.1	1.0	D07	Chr07	D07	Chr07
soff_lappurple_cm036200.1	soff_lappurple_cm036203.1	0.2202032922551048	A07	Chr07	D07	Chr07
soff_lappurple_cm036202.1	soff_lappurple_cm036203.1	0.2133406915781983	C07	Chr07	D07	Chr07
soff_lappurple_cm036201.1	soff_lappurple_cm036203.1	0.207514771298387	B07	Chr07	D07	Chr07
soff_lappurple_cm036206.1	soff_lappurple_cm036203.1	0.1874231173951062	G07	Chr07	D07	Chr07
soff_lappurple_cm036204.1	soff_lappurple_cm036203.1	0.17715770834523334	E07	Chr07	D07	Chr07
soff_lappurple_cm036207.1	soff_lappurple_cm036203.1	0.17050160351215868	H07	Chr07	D07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036203.1	0.1421178510986475	F07	Chr07	D07	Chr07
sspo_npx_cm039603.1	soff_lappurple_cm036203.1	0.10589047277746808	7A	Chr07	D07	Chr07
sspo_npx_cm039604.1	soff_lappurple_cm036203.1	0.1032981298427337	7B	Chr07	D07	Chr07
sspo_npx_cm039606.1	soff_lappurple_cm036203.1	0.10134219923654722	7D	Chr07	D07	Chr07
sspo_npx_cm039605.1	soff_lappurple_cm036203.1	0.10063463281958296	7C	Chr07	D07	Chr07
sspo_ap85441_cm010704.1	soff_lappurple_cm036203.1	0.09101692402194404	6B	Chr06	D07	Chr07
sspo_ap85441_cm010703.1	soff_lappurple_cm036203.1	0.09013887245038861	6A	Chr06	D07	Chr07
sspo_ap85441_cm010705.1	soff_lappurple_cm036203.1	0.08916827034914458	6C	Chr06	D07	Chr07
sspo_ap85441_cm010706.1	soff_lappurple_cm036203.1	0.08623681470653191	6D	Chr06	D07	Chr07
soff_lappurple_cm036204.1	soff_lappurple_cm036204.1	1.0	E07	Chr07	E07	Chr07
soff_lappurple_cm036201.1	soff_lappurple_cm036204.1	0.23537162449349694	B07	Chr07	E07	Chr07
soff_lappurple_cm036200.1	soff_lappurple_cm036204.1	0.2006750814753505	A07	Chr07	E07	Chr07
soff_lappurple_cm036206.1	soff_lappurple_cm036204.1	0.1951126091619427	G07	Chr07	E07	Chr07
soff_lappurple_cm036207.1	soff_lappurple_cm036204.1	0.18907132279953787	H07	Chr07	E07	Chr07
soff_lappurple_cm036203.1	soff_lappurple_cm036204.1	0.17715770834523334	D07	Chr07	E07	Chr07
soff_lappurple_cm036202.1	soff_lappurple_cm036204.1	0.1386841921275257	C07	Chr07	E07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036204.1	0.1047010624262204	F07	Chr07	E07	Chr07
sspo_npx_cm039604.1	soff_lappurple_cm036204.1	0.10149266142779927	7B	Chr07	E07	Chr07
sspo_npx_cm039603.1	soff_lappurple_cm036204.1	0.09809065339679793	7A	Chr07	E07	Chr07
sspo_npx_cm039606.1	soff_lappurple_cm036204.1	0.09189942188479487	7D	Chr07	E07	Chr07
sspo_npx_cm039605.1	soff_lappurple_cm036204.1	0.09181245626312107	7C	Chr07	E07	Chr07
sspo_ap85441_cm010703.1	soff_lappurple_cm036204.1	0.08403243708066274	6A	Chr06	E07	Chr07
soff_lappurple_cm036205.1	soff_lappurple_cm036205.1	1.0	F07	Chr07	F07	Chr07
